product_title,price,rating,num_reviews,ASIN,manufacturer
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),499,4.3,"13,211 ratings",,
"Amazon Brand - Solimo Rain & Dust Cover for Backpack (30 Litres, Black)",199,4.2,"9,417 ratings",B07FQMN9VN,99 g
Impulse Diggy Niva 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,399,4.3,20 ratings,Diggy niva black,15 x 30 x 47 Centimeters
Amazon Brand - Solimo Rectangular Rexine Jumbo Underbed Storage Bag with Zipper and Handle- 18.9 x 23.62 x 14.17 Inches (Black and White),339,4.2,"1,137 ratings",,
DZert 1 Day Hiking Backpack for Boys/Girl (10L),209,3.2,595 ratings,Rushi Enterprise,boys
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),228,3.7,"12,732 ratings",Rushi Enterprise,Unisex-adult
Gear Triumph Summer Print 26L Medium Water Resistant School Bag/College Bag/Daypack/Casual Backack for Girls/Boys/Men/Women (Blue-Beige),779,4.2,"5,813 ratings",Gear Merchandise PVT LTD,Womens
"Lunar's 35 L Laptop Office/School/Travel/Business Backpack Water Proof - Fits Up to 15.6 Inch Laptop Notebook, With Raincover, Inside Organiser and 1 Year Warranty (All)",747,3.8,"1,159 ratings",B08YR63B9M,"Akshaya Rubbers, Hebbal Industrial Area, Mysore, 7022982998"
Lavie Women's Ficus Satchel Bag | Ladies Purse Handbag,"1,599",4.1,"4,605 ratings",B07DJ9Q1NY,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093"
Handcuffs Baby Diaper Bag Multifunctional Maternity Bags New Mom Dad Travel Backpack For Baby Care Nursing (Black),"1,186",4.2,555 ratings,B09413KB4K,Handcuffs
PAZZO Trance 44L Water Resistant Gym/Trekking/Travel/Sports Duffel/Duffle Bag (Black and Grey),615,4.0,"1,955 ratings",PAZZO,PAZZO
"AirCase Protective Laptop Bag Sleeve fits Upto 14.1"" Laptop/MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case Cover Pouch, for Men & Women, Black- 6 Months Warranty",369,4.4,"9,194 ratings",,
Skybags CAMPUS GREY LOGO PRINT COLLEGE LAPTOP BACKPACK 30L,"1,363",4.0,316 ratings,B084258ZD8,"Vip Industries Ltd, VIP Industries Ltd"
Lavie Women's Ushawu Small Satchel Bag | Ladies Purse Handbag,979,3.8,"1,114 ratings",B0B3J937SY,"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093"
"Genie Moonlight Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour",899,4.5,17 ratings,B097PGGTNJ,"Safari, Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
